Serial Number;List Year;Date Recorded;Town;Address;Assessed Value;Property Type;Residential Type;area_m2;meses_en_venta;nro_habitaciones;nro_pisos;Sale Amount
169;2016;11/24/2016;Bozrah;119 & 118 BANTAM LAKE RD;443200;Single Family;Single Family;277m2;3;7;3;443200
211;2021;10/04/2021;Portland;24 THOMASSIAM DR;445000;Residential;Single Family;232m2;4;6;3;445000
811;2008;10/07/2008;Windham;40 SO SECOND ST;216000;Single Family;Single Family;120m2;2;4;2;216000
816;2008;10/07/2008;Windham;56 HARRISON ST;384200;Single Family;Single Family;226m2;2;6;3;384200
817;2008;10/07/2008;Windham;17 WOODLAND RDG;216000;Condo;Condo;120m2;3;4;2;216000
818;2008;10/08/2008;Windham;202 OLDE COLONY COMM;192600;Condo;Condo;107m2;2;4;2;192600
820;2008;10/09/2008;Windham;21 WILBUR AVE;284400;Single Family;Single Family;158m2;4;5;2;284400
821;2008;10/10/2008;Windham;78 DEBBIE DR;415000;Single Family;Single Family;170m2;4;5;2;415000
822;2008;10/10/2008;Windham;5901 MEETINGHOUSE VLG;266400;Condo;Condo;148m2;3;4;2;266400
825;2008;10/10/2008;Windham;56 WOODLAND RDG;212400;Condo;Condo;118m2;11;4;2;212400
826;2008;10/14/2008;Windham;202 CROWN VLG;221400;Condo;Condo;123m2;4;4;2;221400
827;2008;10/14/2008;Windham;136 CROWN VLG;192600;Condo;Condo;107m2;1;4;2;192600
828;2008;10/15/2008;Windham;22 PROSPECT TERR;465600;Single Family;Single Family;291m2;4;7;3;465600
829;2008;10/15/2008;Windham;186 CONVERSE AVE;217800;Single Family;Single Family;121m2;5;4;2;217800
830;2008;10/15/2008;Windham;120 MILDRED RD;278800;Single Family;Single Family;164m2;7;5;2;278800
831;2008;10/15/2008;Windham;260 COOK AVE;505500;Three Family;Three Family;337m2;10;7;4;505500
832;2008;10/15/2008;Windham;15 HOLLY LANE;400000;Single Family;Single Family;250m2;10;7;3;400000
833;2008;10/16/2008;Windham;94 LANOUETTE ST EXT;379100;Single Family;Single Family;223m2;2;6;3;379100
834;2008;10/16/2008;Windham;7 RUSSELL RD;404800;Single Family;Single Family;253m2;8;7;3;404800
835;2008;10/17/2008;Windham;25 ELMWOOD DR;302600;Single Family;Single Family;178m2;5;5;2;302600
836;2008;10/17/2008;Rocky Hill;204 BLACKSTONE VLG;144000;Condo;Condo;80m2;9;3;1;144000
837;2008;10/17/2008;Windham;95 WILCOX AVE;237600;Single Family;Single Family;132m2;3;4;2;237600
838;2008;10/17/2008;Windham;23 AKRON ST;351900;Two Family;Two Family;207m2;6;6;3;351900
839;2008;10/17/2008;Windham;4 FOSTER CT;486000;Three Family;Three Family;324m2;1;7;4;486000
840;2008;10/17/2008;Windham;66 PROSPECT ST;246600;Single Family;Single Family;137m2;5;4;2;246600
841;2008;10/17/2008;Windham;126 AVERY AVE;473600;Single Family;Single Family;296m2;10;7;3;473600
842;2008;10/20/2008;Windham;840 HANOVER RD;275400;Single Family;Single Family;153m2;4;5;2;275400
843;2008;10/21/2008;Windham;410 LIBERTY ST;282200;Single Family;Single Family;166m2;5;5;2;282200
844;2008;10/21/2008;Windham;567 NO COLONY ST;273600;Two Family;Two Family;152m2;8;5;2;273600
845;2008;10/21/2008;Windham;27 MORTON RD;403200;Single Family;Single Family;252m2;8;7;3;403200
847;2008;10/21/2008;Windham;83 CLEARVIEW AVE;436800;Single Family;Single Family;273m2;2;7;3;436800
848;2008;10/22/2008;Windham;5 VILLAGE VIEW;232200;Condo;Condo;129m2;8;4;2;232200
849;2008;10/22/2008;Windham;80 GLENN HILLS RD;416000;Single Family;Single Family;260m2;3;7;3;416000
850;2008;10/23/2008;Windham;1201 WINDING BROOK;253800;Condo;Condo;141m2;15;4;2;253800
851;2008;10/24/2008;Windham;15 MOUNTAIN VIEW;250200;Condo;Condo;139m2;1;4;2;250200
852;2008;10/24/2008;Windham;15 PRINCE ST;411200;Two Family;Two Family;257m2;4;7;3;411200
853;2008;10/24/2008;Windham;72 MYRTLE ST;523500;Two Family;Two Family;349m2;2;7;4;523500
854;2008;10/27/2008;Windham;3 KLOCK ST;241200;Single Family;Single Family;134m2;1;4;2;241200
855;2008;10/27/2008;Windham;201 HIDDEN GABLES;207000;Condo;Condo;115m2;5;4;2;207000
856;2008;10/27/2008;Windham;393 COLONY ST;467200;Two Family;Two Family;292m2;3;7;3;467200
857;2008;10/27/2008;Windham;169 WESTFIELD RD;300900;Single Family;Single Family;177m2;4;5;2;300900
858;2008;10/28/2008;Windham;159 COBBLESTONE LA;379100;Single Family;Single Family;223m2;4;6;3;379100
859;2008;10/28/2008;Windham;48 PEARL ST;360400;Single Family;Single Family;212m2;3;6;3;360400
860;2008;10/28/2008;Windham;106 SO VINE ST;365500;Single Family;Single Family;215m2;5;6;3;365500
861;2008;10/29/2008;Windham;509 PADDOCK AVE;464000;Single Family;Single Family;290m2;2;7;3;464000
863;2008;10/30/2008;Windham;31 EASTGATE COMM;235800;Condo;Condo;131m2;11;4;2;235800
864;2008;10/30/2008;Windham;67 EASTGATE COMM;235800;Condo;Condo;131m2;5;4;2;235800
865;2008;10/31/2008;Windham;67 STERLING VLG;234000;Condo;Condo;130m2;4;4;2;234000
866;2008;10/31/2008;Windham;247 BEE ST;409600;Single Family;Single Family;256m2;2;7;3;409600
867;2008;10/31/2008;Windham;7954 HOLLOW BROOK II;219600;Condo;Condo;122m2;1;4;2;219600
868;2008;10/31/2008;Windham;239 KNOB HILL RD;243000;Single Family;Single Family;135m2;1;4;2;243000
869;2008;10/31/2008;Windham;244 ATKINS ST EXT;390400;Single Family;Single Family;244m2;2;6;3;390400
870;2008;10/31/2008;Windham;85 ALEXANDER DR;396100;Single Family;Single Family;233m2;2;6;3;396100
871;2008;10/31/2008;Windham;43 CLINTON ST;397800;Single Family;Single Family;234m2;9;6;3;397800
872;2008;10/31/2008;Windham;46 KENNEDY DR;411200;Single Family;Single Family;257m2;8;7;3;411200
875;2008;11/03/2008;Windham;1340 WEST MAIN ST;375700;Single Family;Single Family;221m2;3;6;3;375700
876;2008;11/04/2008;Windham;145 STERLING VLG;246600;Condo;Condo;137m2;11;4;2;246600
877;2008;11/04/2008;Windham;70 COTTAGE ST;273700;Two Family;Two Family;161m2;3;5;2;273700
879;2008;11/04/2008;Windham;8 WOODKEN;174600;Condo;Condo;97m2;3;3;1;174600
880;2008;11/04/2008;Windham;1506 WINDING BROOK;184000;Condo;Condo;94m2;3;3;1;184000
881;2008;11/05/2008;Windham;154 NO PEARL ST;346800;Single Family;Single Family;204m2;5;6;3;346800
883;2008;11/07/2008;Windham;16 BRUCE LANE;375700;Single Family;Single Family;221m2;4;6;3;375700
884;2008;11/07/2008;Windham;134 PLUMB AVE;248400;Single Family;Single Family;138m2;12;4;2;248400
885;2008;11/07/2008;Windham;23 OXBOW DR;362100;Single Family;Single Family;213m2;8;6;3;362100
886;2008;11/07/2008;Windham;52 HUBER AVE;341700;Single Family;Single Family;201m2;2;6;3;341700
887;2008;11/07/2008;Windham;112 WILLIAMS ST;379100;Single Family;Single Family;223m2;3;6;3;379100
888;2008;11/07/2008;Windham;80 RANDOLPH AVE;375700;Single Family;Single Family;221m2;2;6;3;375700
889;2008;11/12/2008;Windham;116 PETTIT DR;444800;Single Family;Single Family;278m2;2;7;3;444800
890;2008;11/12/2008;Windham;174 POMEROY AVE;282200;Two Family;Two Family;166m2;3;5;2;282200
891;2008;11/12/2008;Windham;60 FOWLER AVE;287300;Single Family;Single Family;169m2;5;5;2;287300
892;2008;11/12/2008;Windham;41 PRESCOTT ST;592500;Three Family;Three Family;395m2;9;7;4;592500
893;2008;11/12/2008;Windham;108 BROADVIEW NO;172800;Condo;Condo;96m2;8;3;1;172800
894;2008;11/13/2008;Windham;80 DRYDEN DR;262800;Single Family;Single Family;146m2;5;4;2;262800
895;2008;11/14/2008;Windham;191 SHERMAN AVE;362100;Three Family;Three Family;213m2;2;6;3;362100
896;2008;11/14/2008;Windham;92 LYNN DR;396800;Single Family;Single Family;248m2;2;6;3;396800
897;2008;11/14/2008;Windham;488 LIBERTY ST;403200;Two Family;Two Family;252m2;7;7;3;403200
898;2008;11/17/2008;Windham;15 WEBSTER ST;467200;Three Family;Three Family;292m2;1;7;3;467200
899;2008;11/17/2008;Windham;37 CLINTON ST;462400;Single Family;Single Family;289m2;2;7;3;462400
1033;2010;12/02/2010;Southington;120 LAUREL HILL RD;322750;Single Family;Single Family;147m2;4;4;2;264600
1048;2010;12/28/2010;Bridgeport;274-276 SMITH STREET;724500;Three Family;Three Family;483m2;5;9;5;724500
1066;2010;11/15/2010;Bridgeport;75 OVERLAND AVENUE;221400;Single Family;Single Family;123m2;4;4;2;221400
1076;2010;11/29/2010;East Lyme;40 AMOS ST;324700;Single Family;Single Family;191m2;10;5;2;324700
1100;2011;10/17/2011;Portland;54 BENZ ST;460800;Single Family;Single Family;288m2;3;7;3;460800
1101;2011;10/24/2011;Portland;154 HULL ST;400000;Single Family;Single Family;250m2;2;7;3;400000
1102;2011;10/03/2011;Bozrah;50 RIVERHILL RD;473600;Single Family;Single Family;296m2;4;7;3;473600
1102;2011;10/28/2011;Portland;10 MENNA RD;394400;Single Family;Single Family;232m2;2;6;3;394400
1104;2011;11/07/2011;Portland;78 FRANKLIN ST;385900;Two Family;Two Family;227m2;5;6;3;385900
1105;2011;11/09/2011;Portland;8 HOINSKI WAY;389300;Single Family;Single Family;229m2;5;6;3;389300
1108;2011;11/10/2011;Portland;24 HOINSKI WAY;319600;Single Family;Single Family;188m2;1;5;2;319600
1109;2011;11/10/2011;Portland;15 RICHARD ST;368900;Single Family;Single Family;217m2;3;6;3;368900
1110;2011;11/14/2011;Portland;22 HARRIS RD;304300;Single Family;Single Family;179m2;3;5;2;304300
1111;2011;11/17/2011;Portland;135 PLATT ST;443200;Two Family;Two Family;277m2;10;7;3;443200
1112;2011;11/17/2011;Portland;11 BELLEVIEW TERR;226800;Single Family;Single Family;126m2;5;4;2;226800
1113;2011;11/18/2011;Portland;15 SOBIN DR;277100;Single Family;Single Family;163m2;3;5;2;277100
1114;2011;11/22/2011;Portland;13 FINNEY ST EXT;334900;Single Family;Single Family;197m2;3;5;2;334900
1115;2011;11/23/2011;Portland;113 PLATT ST;321300;Two Family;Two Family;189m2;3;5;2;321300
1116;2011;11/29/2011;Portland;173 WESTFIELD AVE;273700;Single Family;Single Family;161m2;10;5;2;273700
1117;2011;12/01/2011;Portland;66 COE LA;432000;Single Family;Single Family;270m2;4;7;3;432000
1118;2011;12/02/2011;Portland;26 N WESTWOOD RD;226800;Single Family;Single Family;126m2;5;4;2;226800
1119;2011;12/05/2011;Portland;9 KATHY LA;299200;Single Family;Single Family;176m2;1;5;2;299200
1120;2011;12/12/2011;Portland;12 LESTER ST;300900;Two Family;Two Family;177m2;1;5;2;300900
1121;2011;12/12/2011;Portland;2 GRACIE LA;292400;Single Family;Single Family;172m2;3;5;2;292400
1122;2011;12/13/2011;Portland;26 NICHOLS ST;451200;Two Family;Two Family;282m2;8;7;3;451200
1123;2011;12/13/2011;Portland;118 HOWARD AVE;355300;Two Family;Two Family;209m2;3;6;3;355300
1124;2011;12/19/2011;Portland;14 TORO LA;397800;Single Family;Single Family;234m2;1;6;3;397800
1125;2011;12/22/2011;Portland;2 PROSPECT ST;223200;Single Family;Single Family;124m2;3;4;2;223200
1126;2011;12/23/2011;Portland;5 HUGHES CR;167900;Condo;Condo;80m2;3;3;1;167900
1127;2011;12/28/2011;Portland;35 JEWETT ST;306000;Single Family;Single Family;180m2;2;5;2;306000
1128;2011;12/28/2011;Portland;22 JUDSON PL;297500;Single Family;Single Family;175m2;1;5;2;297500
1131;2011;12/29/2011;Portland;45 FORD ST;271800;Single Family;Single Family;151m2;6;5;2;271800
1132;2011;12/30/2011;Portland;22 CLIFTON AVE;297500;Two Family;Two Family;175m2;5;5;2;297500
1133;2011;1/03/2012;Portland;99 FORD ST;262800;Condo;Condo;146m2;1;4;2;262800
1134;2011;1/05/2012;Portland;161 BENZ ST;272000;Single Family;Single Family;160m2;18;5;2;272000
1135;2011;1/10/2012;Portland;87 HUBBELL AVE;363800;Single Family;Single Family;214m2;4;6;3;363800
1136;2011;01/13/2012;Portland;114 HODGE AVE;272000;Two Family;Two Family;160m2;3;5;2;272000
1137;2011;2/01/2012;Portland;137 1/2 N STATE ST;338300;Single Family;Single Family;199m2;10;5;2;338300
1139;2011;2/06/2012;Portland;103 WESTFIELD AVE;480000;Two Family;Two Family;320m2;8;7;4;480000
1140;2011;02/13/2012;Portland;193 WAKELEE AVE;451200;Single Family;Single Family;282m2;4;7;3;451200
1141;2011;02/21/2012;Portland;177 BEAVER ST;510000;Two Family;Two Family;340m2;3;7;4;510000
1142;2011;02/23/2012;Portland;30 WESLEY ST;404800;Single Family;Single Family;253m2;4;7;3;404800
1143;2011;02/24/2012;Portland;1 ELIZABETH ST;372300;Single Family;Single Family;219m2;3;6;3;372300
1144;2011;02/24/2012;Portland;27 GLEN DR;394400;Single Family;Single Family;232m2;2;6;3;394400
1145;2011;02/24/2012;Portland;27 GLEN DR;392000;Single Family;Single Family;245m2;4;6;3;392000
1146;2011;02/27/2012;Portland;21 HOWARD AVE;449600;Two Family;Two Family;281m2;6;7;3;449600
1147;2011;02/28/2012;Portland;160 N MAIN ST;317900;Two Family;Two Family;187m2;2;5;2;317900
1148;2011;3/01/2012;Portland;7 EAST STREET;275400;Single Family;Single Family;162m2;2;5;2;275400
1149;2011;3/01/2012;Portland;68 HULL STREET;384200;Single Family;Single Family;226m2;8;6;3;384200
1150;2011;3/01/2012;Portland;323 BEAVER STREET;244800;Single Family;Single Family;136m2;1;4;2;244800
1151;2011;3/02/2012;Portland;11 SMITH STREET;462400;Two Family;Two Family;289m2;2;7;3;462400
1152;2011;3/07/2012;Portland;61 HODGE AVENUE;406400;Single Family;Single Family;254m2;2;7;3;406400
1153;2011;3/12/2012;Portland;52 JEWETT STREET;464000;Four Family;Four Family;290m2;4;7;3;464000
1154;2011;3/12/2012;Portland;11 BERKSHIRE ROAD;387600;Single Family;Single Family;228m2;7;6;3;387600
1155;2011;03/14/2012;Portland;89 MYRTLE AVENUE;475200;Two Family;Two Family;297m2;8;7;3;475200
1156;2011;03/19/2012;Portland;28 MARTIN TERRACE;425600;Single Family;Single Family;266m2;3;7;3;425600
1157;2011;03/19/2012;Portland;75 MYRTLE AVENUE;357000;Single Family;Single Family;210m2;7;6;3;357000
1158;2011;03/19/2012;Portland;5 CONDON DRIVE;345100;Single Family;Single Family;203m2;1;6;3;345100
1159;2011;03/19/2012;Portland;22 CASTLE LANE;468800;Single Family;Single Family;293m2;6;7;3;468800
1160;2011;03/21/2012;Portland;21 ARCH STREET;297500;Two Family;Two Family;175m2;3;5;2;297500
1161;2011;03/23/2012;Portland;240 N MAIN STREET;537000;Two Family;Two Family;358m2;4;7;4;537000
1162;2011;03/26/2012;Portland;12 HULL STREET;392000;Single Family;Single Family;245m2;3;6;3;392000
1163;2011;03/28/2012;Portland;127 HOWARD AVENUE;667500;Three Family;Three Family;445m2;7;9;5;667500
1164;2011;03/29/2012;Portland;20 HARRIS ROAD;377400;Single Family;Single Family;222m2;2;6;3;377400
1165;2011;4/02/2012;Portland;97 N STATE ST;441600;Single Family;Single Family;276m2;4;7;3;441600
1166;2011;4/02/2012;Portland;15 DWIGHT ST;424000;Two Family;Two Family;265m2;3;7;3;424000
1167;2011;4/03/2012;Portland;9 FINNEY ST EXT;219600;Single Family;Single Family;122m2;3;4;2;219600
1168;2011;4/03/2012;Portland;26 NOLAN MANOR CONDO;214200;Condo;Condo;119m2;4;4;2;214200
1169;2011;4/03/2012;Portland;423 N MAIN ST;399500;Single Family;Single Family;235m2;7;6;3;399500
1170;2011;4/04/2012;Portland;8 BEHRLE DR;372300;Single Family;Single Family;219m2;6;6;3;372300
1171;2011;4/09/2012;Portland;34 WINTER ST;417600;Two Family;Two Family;261m2;7;7;3;417600
1172;2011;4/10/2012;Portland;20 LAROVERA TERR;467200;Single Family;Single Family;292m2;3;7;3;467200
1173;2011;4/10/2012;Portland;33 FRANKLIN ST;363800;Single Family;Single Family;214m2;4;6;3;363800
1174;2011;4/12/2012;Portland;14 RUFUS ST;333200;Single Family;Single Family;196m2;5;5;2;333200
1175;2011;04/16/2012;Portland;5 COE LA;295800;Single Family;Single Family;174m2;7;5;2;295800
1176;2011;04/17/2012;Portland;2 DOREL TERR;462400;Single Family;Single Family;289m2;1;7;3;462400
1177;2011;04/20/2012;Portland;16 N WESTWOOD RD;239400;Single Family;Single Family;133m2;3;4;2;239400
1178;2011;04/24/2012;Portland;56 GROVE ST;470400;Two Family;Two Family;294m2;6;7;3;470400
1179;2011;04/27/2012;Portland;17 EAST ST;384200;Single Family;Single Family;226m2;4;6;3;384200
1180;2011;5/02/2012;Portland;55 HOLBROOK ST;564000;Two Family;Two Family;376m2;2;7;4;564000
1181;2011;5/08/2012;Portland;226 PRINDLE AVE;428800;Single Family;Single Family;268m2;3;7;3;428800
1182;2011;5/11/2012;Portland;1 NOLAN MANOR CONDO;225000;Condo;Condo;125m2;2;4;2;225000
1183;2011;05/17/2012;Portland;45 HIGHLAND AVE;393600;Single Family;Single Family;246m2;4;6;3;393600
1184;2011;05/21/2012;Portland;48 VINE ST;597000;Two Family;Two Family;398m2;2;7;4;597000
1185;2011;05/22/2012;Portland;39 LAROVERA TERR;284800;Single Family;Single Family;167m2;16;5;2;283900
1186;2011;05/25/2012;Portland;206 PRINDLE AVE;374000;Single Family;Single Family;220m2;2;6;3;374000
1187;2011;05/29/2012;Portland;178 FRANKLIN ST;264600;Single Family;Single Family;147m2;2;4;2;264600
1188;2011;05/29/2012;Portland;416 N MAIN ST;362100;Single Family;Single Family;213m2;5;6;3;362100
1189;2011;05/29/2012;Portland;188 BEAVER ST;570000;Two Family;Two Family;380m2;4;7;4;570000
1190;2011;05/30/2012;Portland;16 PRINDLE AVE;241200;Single Family;Single Family;134m2;6;4;2;241200
1192;2011;5/09/2012;Portland;6 CEDAR ST;499200;Three Family;Three Family;312m2;4;7;4;499200
1193;2011;5/09/2012;Portland;172 HOWARD AVE;488000;Two Family;Two Family;305m2;5;7;4;488000
1194;2011;6/01/2012;Portland;22 HARRIS RD;392000;Single Family;Single Family;245m2;4;6;3;392000
1195;2011;6/01/2012;Portland;21 GRANITE TERR;365500;Single Family;Single Family;215m2;3;6;3;365500
1196;2011;6/04/2012;Portland;5 VOSE ST;404600;Single Family;Single Family;238m2;4;6;3;404600
1197;2011;6/04/2012;Portland;23 WESLEY ST;465600;Single Family;Single Family;291m2;5;7;3;465600
1198;2011;6/05/2012;Portland;11 HUGHES CR;221400;Condo;Condo;123m2;4;4;2;221400
1199;2011;6/05/2012;Portland;65 SILVER HILL RD;392000;Single Family;Single Family;245m2;2;6;3;392000
1301;2013;10/18/2013;Portland;15 NICHOLAS STREET;324700;Two Family;Two Family;191m2;2;5;2;324700
1302;2013;10/21/2013;Portland;23 BYRON AVENUE;400000;Single Family;Single Family;250m2;7;7;3;400000
1303;2013;10/21/2013;Portland;25 SCOTLAND STREET;462400;Single Family;Single Family;289m2;4;7;3;462400
1304;2013;10/21/2013;Portland;16 APPLEWOOD CONDO;185400;Condo;Condo;103m2;3;4;2;185400
1305;2013;10/21/2013;Portland;92 GARDEN STREET;235800;Single Family;Single Family;131m2;2;4;2;235800
1307;2013;10/24/2013;Portland;79 DIVISION STREET;433600;Single Family;Single Family;271m2;4;7;3;433600
1308;2013;10/24/2013;Portland;15 MAY STREET;377400;Two Family;Two Family;222m2;4;6;3;377400
1309;2013;10/24/2013;Portland;8 APPLEWOOD CONDO;180000;Condo;Condo;100m2;7;4;2;180000
1310;2013;10/28/2013;Portland;127 ROCKWOOD AVENUE;424000;Single Family;Single Family;265m2;5;7;3;424000
1311;2013;10/30/2013;Portland;34 ARCH STREET;580500;Two Family;Two Family;387m2;10;7;4;580500
1312;2013;10/31/2013;Portland;22 MOUNTAIN VIEW ROAD;454400;Single Family;Single Family;284m2;1;7;3;454400
1313;2013;10/31/2013;Portland;16 CONDON DRIVE;478400;Single Family;Single Family;299m2;12;7;3;478400
1314;2013;10/31/2013;Portland;37 KATHY LA;255600;Single Family;Single Family;142m2;2;4;2;255600
1315;2013;10/31/2013;Portland;44 WINTER STREET;594000;Two Family;Two Family;396m2;14;7;4;594000
1316;2013;10/01/2013;Portland;206 NORTH STATE STREET;234000;Single Family;Single Family;130m2;1;4;2;234000
1317;2013;10/01/2013;Portland;13 HULL STREET;280500;Single Family;Single Family;165m2;3;5;2;280500
1318;2013;10/03/2013;Portland;144 BENZ STREET;372300;Single Family;Single Family;219m2;4;6;3;372300
1319;2013;10/03/2013;Portland;17 CHERRY STREET;286200;Two Family;Two Family;159m2;2;5;2;286200
1320;2013;10/04/2013;Portland;6 COE LANE;436800;Single Family;Single Family;273m2;4;7;3;436800
1321;2013;10/07/2013;Portland;20 SIXTH STREET;353600;Two Family;Two Family;208m2;2;6;3;353600
1322;2013;10/09/2013;Portland;18 BIRCHWOOD DRIVE;440000;Single Family;Single Family;275m2;1;7;3;440000
1323;2013;10/10/2013;Portland;3 ELLIOTT ROAD;401200;Single Family;Single Family;236m2;1;6;3;401200
1324;2013;10/10/2013;Portland;34 SILVER HILL ROAD;397800;Single Family;Single Family;234m2;3;6;3;397800
1325;2013;10/11/2013;Portland;25 MYRTLE AVENUE;230400;Single Family;Single Family;128m2;3;4;2;230400
1326;2013;10/15/2013;Portland;24 YORK STREET;412800;Two Family;Two Family;258m2;2;7;3;412800
1327;2013;10/16/2013;Portland;82 BENZ STREET;217800;Single Family;Single Family;121m2;3;4;2;217800
1328;2013;11/05/2013;Portland;164 NORTH STATE STREET;475200;Single Family;Single Family;297m2;4;7;3;475200
1329;2013;11/08/2013;Portland;14 ALCOTT STREET;273600;Single Family;Single Family;152m2;1;5;2;273600
1330;2013;11/15/2013;Portland;105 HODGE AVENUE;555000;Two Family;Two Family;370m2;20;7;4;555000
1331;2013;11/18/2013;Portland;33 CASTLE LANE;428800;Single Family;Single Family;268m2;3;7;3;428800
1332;2013;11/18/2013;Portland;31 JUDSON PLACE;253800;Single Family;Single Family;141m2;5;4;2;253800
1333;2013;11/20/2013;Portland;366 WAKELEE AVENUE;446400;Single Family;Single Family;279m2;4;7;3;446400
1334;2013;11/20/2013;Portland;21 BRUNS ROAD;379100;Single Family;Single Family;223m2;4;6;3;379100
1335;2013;11/21/2013;Portland;6 HIGH ACRES ROAD;385900;Single Family;Single Family;227m2;5;6;3;385900
1338;2013;11/25/2013;Portland;12 DOYLE DRIVE;225000;Single Family;Single Family;125m2;1;4;2;225000
1339;2013;11/26/2013;Portland;34 FINNEY STREET;252000;Single Family;Single Family;140m2;1;4;2;252000
1340;2013;11/26/2013;Portland;58 HIGHLAND AVENUE;446400;Single Family;Single Family;279m2;4;7;3;446400
1341;2013;11/26/2013;Portland;30 GREENFIELD DRIVE;299200;Single Family;Single Family;176m2;4;5;2;299200
1342;2013;11/05/2013;Portland;131 PRINDLE AVENUE;350200;Single Family;Single Family;206m2;5;6;3;350200
1343;2013;11/27/2013;Portland;16 CAROLINE STREET;299200;Single Family;Single Family;176m2;3;5;2;299200
1344;2013;12/02/2013;Portland;143 BEAVER STREET;282600;Two Family;Two Family;157m2;3;5;2;282600
1345;2013;12/03/2013;Portland;60 FRANKLIN STREET;465600;Single Family;Single Family;291m2;4;7;3;465600
1346;2013;12/04/2013;Portland;124 BENZ STREET;292400;Single Family;Single Family;172m2;3;5;2;292400
1347;2013;12/12/2013;Portland;34 NORTH CLIFF STREET;379100;Single Family;Single Family;223m2;2;6;3;379100
1348;2013;12/13/2013;Portland;131 HILL STREET;502500;Two Family;Two Family;335m2;2;7;4;502500
1349;2013;12/13/2013;Portland;31 NOLAN MANOR CONDO;255600;Condo;Condo;142m2;1;4;2;255600
1350;2013;12/16/2013;Portland;392 NORTH MAIN STREET;241200;Single Family;Single Family;134m2;15;4;2;241200
1351;2013;12/16/2013;Portland;392 NORTH MAIN STREET;357000;Single Family;Single Family;210m2;6;6;3;357000
1352;2013;12/19/2013;Portland;14 DAY STREET;404600;Single Family;Single Family;238m2;1;6;3;404600
1353;2013;12/19/2013;Portland;9 GOLDEN ROD DRIVE;451200;Single Family;Single Family;282m2;8;7;3;451200
1354;2013;12/23/2013;Portland;20 BEECHWOOD DR;264600;Single Family;Single Family;147m2;3;4;2;264600
1356;2013;12/30/2013;Portland;29 ARBOR TERRACE;345100;Single Family;Single Family;203m2;2;6;3;345100
1357;2013;12/30/2013;Portland;236 PROSPECT STREET;553500;Two Family;Two Family;369m2;3;7;4;553500
1358;2013;12/31/2013;Portland;8 BERKSHIRE ROAD;275400;Single Family;Single Family;162m2;5;5;2;275400
1359;2013;12/31/2013;Portland;427 NORTH MAIN STREET;520500;Three Family;Three Family;347m2;10;7;4;520500
1360;2013;1/07/2014;Portland;19 LAROVERA TERRACE;460800;Single Family;Single Family;288m2;4;7;3;460800
